ZNF711	-6.27455563381071
IRS4	-5.71850179632793
ITGA8	-5.60973017802844
IGFBP5	-5.39157405448275
HEY1	-4.96653810863315
SEMA5A	-4.7940733845303
ADAMTS5	-4.68148801498506
MEX3B	-4.56413260284602
TGIF2-RAB5IF	-4.43079767215141
POU3F2	-4.09714391266527
FREM2	-3.91016143019578
ARMCX5-GPRASP2	-3.79203088625464
MDM2	-3.77380357135878
COL14A1	-3.73745699305131
PRSS12	-3.73647117098029
AHRR	-3.73375544632745
GPC3	-3.71954734621663
PTCHD1	-3.67052084112857
DNASE1L2	-3.5586315072495
SERPINE2	-3.52644130337519
ID3	-3.47750089093533
ZNF569	-3.40478945098987
PMAIP1	-3.40453365959519
NRP1	-3.33230045311299
GPM6A	-3.30844051123181
MAF	-3.30077027686571
MYZAP	-3.30018058288988
SESN3	-3.29702197231171
ADD3	-3.29052905806074
VCAN	-3.27820164272157
MAGED2	-3.26457138578205
HMGN2	-3.23525154006768
AP1S2	-3.2137710203254
EBF2	-3.21148995161462
PCDH17	-3.19870544754775
APCDD1	-3.19437529879166
ENSG00000288550	-3.11891896240447
RPS10-NUDT3	-3.11036377613041
PTPN13	-3.07947715309761
LIMD2	-3.07361640609554
N4BP2	-3.0433127295338
UNC5B	-3.03270362299331
ZNF503	-2.98645161680628
AMOT	-2.98525109288089
BCL2L11	-2.97805420946458
CADPS2	-2.97073677762008
BAHCC1	-2.96424226465971
PCDH9	-2.96367853394319
SMOC1	-2.94916214824683
CD99	-2.94547211580701
SEMA6A	-2.9444486585703
ENSG00000269983	-2.94027132218186
ENSG00000261324	-2.93889677050384
TSPAN12	-2.93104896111817
FRMPD4	-2.92404422151863
GUCY1A1	-2.88953217326963
FUBP1	-2.87923223128982
CFDP1	-2.82617670536286
SUSD5	-2.82584072358214
FOXC1	-2.82377882112999
EPHA4	-2.80423738769145
STAG2	-2.80081584767331
ZNF738	-2.79413788730751
LMNB1	-2.78845444125262
TMEM47	-2.78572857631108
ENSG00000256028	-2.7848582419216
FLRT2	-2.77459266645897
ING3	-2.76374446405958
ENSG00000285976	-2.72862490127867
NET1	-2.70041663154297
C21orf91	-2.69213852879035
SYT15B	-2.68574261300339
POLA1	-2.68465030612761
CEP95	-2.67231197045457
PTGER4	-2.61271531210746
TIAM1	-2.61229777525862
FZD8	-2.61221703429426
ZNF566	-2.60990830145319
LNPEP	-2.60764997307158
ID2	-2.59076655223844
ZNF829	-2.58745910374292
