NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	142	0.9201098	2.9335814	0.0	0.0	0.0	648	tags=60%, list=4%, signal=62%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	81	0.9586673	2.8571634	0.0	0.0	0.0	271	tags=81%, list=2%, signal=82%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	155	0.87006974	2.8100073	0.0	0.0	0.0	538	tags=35%, list=3%, signal=36%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	Details ...	62	0.94450736	2.6701627	0.0	0.0	0.0	167	tags=58%, list=1%, signal=58%	
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	Details ...	109	0.84788364	2.642217	0.0	0.0	0.0	457	tags=32%, list=3%, signal=33%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	Details ...	77	0.8879587	2.6251953	0.0	0.0	0.0	512	tags=40%, list=3%, signal=41%	
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	Details ...	88	0.8491187	2.5894992	0.0	0.0	0.0	457	tags=35%, list=3%, signal=36%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	57	0.9152456	2.5754871	0.0	0.0	0.0	457	tags=49%, list=3%, signal=50%	
ANTIVIRAL INNATE IMMUNE RESPONSE%GOBP%GO:0140374	ANTIVIRAL INNATE IMMUNE RESPONSE%GOBP%GO:0140374	Details ...	56	0.88922584	2.5303023	0.0	0.0	0.0	226	tags=30%, list=1%, signal=31%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	Details ...	35	0.9426546	2.51305	0.0	0.0	0.0	155	tags=46%, list=1%, signal=46%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	Details ...	63	0.870177	2.5004752	0.0	0.0	0.0	457	tags=40%, list=3%, signal=41%	
